Index,category,sub_category,brand,sale_price,market_price
7180,Gourmet & World Food,Tinned & Processed Food,Tify,99,110
7181,Beauty & Hygiene,Fragrances & Deos,Spinz,95,190
7182,Cleaning & Household,"Disposables, Garbage Bag",Mystique,234,234
7183,Gourmet & World Food,Oils & Vinegar,Kapiva Ayurveda,497.17,599
7184,Beverages,Fruit Juices & Drinks,Real,206,230
7185,Beauty & Hygiene,Hair Care,Mamaearth,99,99
7186,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,125,139
7187,Beauty & Hygiene,Bath & Hand Wash,Himalaya,92.65,109
7188,"Kitchen, Garden & Pets",Cookware & Non Stick,Bergner,3299,4145
7189,Snacks & Branded Foods,Indian Mithai,D-Alive,499,499
7190,Snacks & Branded Foods,Chocolates & Candies,Amul,25,25
7191,Beauty & Hygiene,Health & Medicine,Kamasutra,108,120
7192,"Foodgrains, Oil & Masala",Organic Staples,24 Mantra,250,250
7193,Beauty & Hygiene,Skin Care,INATUR ,315,450
7194,Beauty & Hygiene,Skin Care,Aloederm,184,230
7195,Snacks & Branded Foods,Frozen Veggies & Snacks,GOELD,75,150
7196,Beauty & Hygiene,Health & Medicine,Bixa Botanical,795,795
7197,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,50,50
7198,Beauty & Hygiene,Men's Grooming,Bombay Shaving Company,112.5,125
7199,Beauty & Hygiene,Skin Care,Aroma Magic ,91,130
7200,Gourmet & World Food,Oils & Vinegar,RawNH,299,299
7201,Beauty & Hygiene,Skin Care,Natural Vibes,1048,1048
7202,Beauty & Hygiene,Bath & Hand Wash,Yardley London,89.1,99
7203,Beauty & Hygiene,Hair Care,Mediker,50,50
7204,Beauty & Hygiene,Hair Care,Schwarzkopf Professional,1925,1925
7205,Beauty & Hygiene,Skin Care,INATUR ,360,450
7206,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,249,495
7207,Beverages,Tea,Wagh Bakri,150,150
7208,Beauty & Hygiene,Hair Care,Jovees,155,155
7209,"Kitchen, Garden & Pets",Storage & Accessories,Saura,65,65
7210,Gourmet & World Food,"Atta, Flours & Sooji",By Nature,405,405
7211,Beauty & Hygiene,Fragrances & Deos,Set Wet,298.51,597
7212,Beauty & Hygiene,Skin Care,Vlcc,167,257
7213,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,300,300
7214,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,49,49
7215,Gourmet & World Food,Drinks & Beverages,American Delight,68,80
7216,Beauty & Hygiene,Fragrances & Deos,Police,2560,3200
7217,Beverages,"Health Drink, Supplement",Pediasure,1000,1090
7218,Beverages,Energy & Soft Drinks,Karma Kettle,300,300
7219,"Kitchen, Garden & Pets",Steel Utensils,Frestol,999,999
7220,Beverages,Fruit Juices & Drinks,B Natural,229.68,330
7221,Beauty & Hygiene,Skin Care,BIOTIQUE,524.25,699
7222,Gourmet & World Food,Drinks & Beverages,Ausum Tea,350,350
7223,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,156,156
7224,Cleaning & Household,Bins & Bathroom Ware,JOYO,429,609
7225,Snacks & Branded Foods,Ready To Cook & Eat,MTR,125,135
7226,Gourmet & World Food,Cooking & Baking Needs,Graminway,179,179
7227,Cleaning & Household,Fresheners & Repellents,Odonil ,116,147
7228,"Foodgrains, Oil & Masala",Organic Staples,Phalada Pure & Sure,130,130
7229,Cleaning & Household,Detergents & Dishwash,Frosch,239,239
7230,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,410,410
7231,Cleaning & Household,Fresheners & Repellents,Mukund,275,275
7232,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,90,90
7233,Beauty & Hygiene,Health & Medicine,ORGANIC INDIA,225,225
7234,Beauty & Hygiene,Skin Care,Vlcc,133.2,148
7235,Beauty & Hygiene,Skin Care,BodyHerbals,299,299
7236,Gourmet & World Food,"Pasta, Soup & Noodles",Peacock ,171,190
7237,Beauty & Hygiene,Skin Care,Khadi Natural,185,185
