index,category,sub_category,brand,sale_price,market_price
6876,Snacks & Branded Foods,Snacks & Namkeen,Doritos,20,20
6877,Beauty & Hygiene,Skin Care,Nyassa,149,149
6878,Beauty & Hygiene,Skin Care,Soulflower,328,450
6879,Cleaning & Household,Bins & Bathroom Ware,Ratan,69,106
6880,Beauty & Hygiene,Skin Care,BIOTIQUE,112.5,150
6881,Beauty & Hygiene,Skin Care,Glamveda,120,150
6882,Cleaning & Household,"Mops, Brushes & Scrubs",Exo,12.87,15
6883,Snacks & Branded Foods,Snacks & Namkeen,Kari Kari,50,50
6884,Gourmet & World Food,"Sauces, Spreads & Dips",American Garden ,270,270
6885,Baby Care,Diapers & Wipes,Paw Paw,319,319
6886,"Foodgrains, Oil & Masala",Masalas & Spices,Mdh,66,66
6887,"Kitchen, Garden & Pets",Cookware & Non Stick,Trm,439,695
6888,Beauty & Hygiene,Health & Medicine,Puma,699,699
6889,Gourmet & World Food,Chocolates & Biscuits,Skittles,160,160
6890,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,325,325
6891,Snacks & Branded Foods,Chocolates & Candies,Center Fresh,50,50
6892,Beauty & Hygiene,Bath & Hand Wash,50ap,85,85
6893,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",LiL'Goodness,56,70
6894,"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,6300,7875
6895,Gourmet & World Food,Cooking & Baking Needs,Organic Nation,100,100
6896,Beauty & Hygiene,Skin Care,Lakme,359.2,449
6897,Gourmet & World Food,Dairy & Cheese,Nectar Valley,245,245
6898,Beauty & Hygiene,Fragrances & Deos,Fogg ,252.99,460
6899,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,42,65
6900,"Kitchen, Garden & Pets",Storage & Accessories,Princeware,409,632
6901,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,139,249
6902,Cleaning & Household,Detergents & Dishwash,Comfort,195,220
6903,Baby Care,Baby Food & Formula,Dexolac,304,304
6904,Gourmet & World Food,Cereals & Breakfast,NUTRIWISH,450,450
6905,Cleaning & Household,Bins & Bathroom Ware,Ratan,259,320
6906,Beauty & Hygiene,Oral Care,Colgate,85.5,95
6907,Beauty & Hygiene,Skin Care,Aloe Veda,270,300
6908,Beauty & Hygiene,Skin Care,Aroma Magic ,243.75,325
6909,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,559,1080
6910,Beauty & Hygiene,Skin Care,Fizzy Fern,297.5,350
6911,Gourmet & World Food,Drinks & Beverages,FOCO,150,150
6912,Beauty & Hygiene,Hair Care,Kaya Clinic,841.5,990
6913,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Eat Real,30,30
6914,Cleaning & Household,Fresheners & Repellents,Aer,439.12,499
6915,Gourmet & World Food,Chocolates & Biscuits,Kantan,250,250
6916,"Foodgrains, Oil & Masala",Masalas & Spices,Orika,58.5,78
6917,Baby Care,Baby Bath & Hygiene,Mamaearth,199,199
6918,Beauty & Hygiene,Men's Grooming,Neesh,950,950
6919,Gourmet & World Food,"Sauces, Spreads & Dips",Organicana,260,260
6920,"Foodgrains, Oil & Masala",Masalas & Spices,bb Popular,32,40
6921,Beauty & Hygiene,Skin Care,Loreal Paris,1035,1035
6922,Cleaning & Household,All Purpose Cleaners,Faultless,285,285
6923,Beauty & Hygiene,Fragrances & Deos,Engage,76.5,90
6924,Gourmet & World Food,Dairy & Cheese,Dairy Craft,255,255
6925,Beauty & Hygiene,Skin Care,Kaya Clinic,739.5,870
6926,Gourmet & World Food,Dairy & Cheese,RRO DAIRY,325,325
6927,Beauty & Hygiene,Feminine Hygiene,bb Combo,341.85,488
6928,"Foodgrains, Oil & Masala",Masalas & Spices,Tasty Tales,115,230
6929,Beauty & Hygiene,Skin Care,The Face Shop,807.5,950
6930,Snacks & Branded Foods,Snacks & Namkeen,Befikar,40,40
6931,"Kitchen, Garden & Pets",Storage & Accessories,DP,239,439
6932,Beauty & Hygiene,Hair Care,Indulekha,211,234
6933,Gourmet & World Food,Cooking & Baking Needs,So Sweet,400,400
6934,"Eggs, Meat & Fish",Fish & Seafood,Fresho,1155,1948
6935,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,450,500
6936,Beauty & Hygiene,Fragrances & Deos,Remy ,265.05,279
6937,"Kitchen, Garden & Pets",Steel Utensils,Tallboy,775,999
6938,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,144,160
6939,Beauty & Hygiene,Skin Care,Vlcc,191,255
6940,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Azafran,440,440
6941,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,548,590
6942,Snacks & Branded Foods,Breakfast Cereals,Nutriorg,783.75,825
6943,Beauty & Hygiene,Health & Medicine,Kamasutra,150,200
6944,Cleaning & Household,Detergents & Dishwash,Citrus Plus,45,45
6945,Beauty & Hygiene,Men's Grooming,LetsShave,1615.5,1795
6946,Snacks & Branded Foods,Chocolates & Candies,Wrigleys,160,160
6947,Beauty & Hygiene,Bath & Hand Wash,BB Home,99,150
6948,"Kitchen, Garden & Pets",Storage & Accessories,Saura,129,145
6949,Beauty & Hygiene,Bath & Hand Wash,Pears,40,40
6950,"Kitchen, Garden & Pets",Storage & Accessories,Flair,449,680
6951,Snacks & Branded Foods,Biscuits & Cookies,Cadbury,120,160
6952,Snacks & Branded Foods,Ready To Cook & Eat,MTR,184.88,260
6953,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,599.4,999
6954,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,34,80
6955,Gourmet & World Food,"Sauces, Spreads & Dips",Sakurafresh,270,270
6956,Cleaning & Household,Bins & Bathroom Ware,Princeware,139,235
6957,Beauty & Hygiene,Health & Medicine,Jiva Ayurveda,55,55
6958,Beauty & Hygiene,Hair Care,Garnier,49,49
6959,Cleaning & Household,Bins & Bathroom Ware,Jai Veer,699,799
6960,Baby Care,Diapers & Wipes,Huggies,1548.36,2298
6961,Beauty & Hygiene,Fragrances & Deos,Park avenue,216,240
6962,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Tasties,142.5,178
6963,Cleaning & Household,Pooja Needs,Kiara Foods,18,18
6964,Beauty & Hygiene,Bath & Hand Wash,Harmony,35,35
6965,Baby Care,Baby Bath & Hygiene,Chicco,147,147
6966,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,21.25,25
6967,Beauty & Hygiene,Skin Care,Garnier,297,297
6968,"Kitchen, Garden & Pets",Steel Utensils,NanoNine,399,594
